,Border,Sector,State/Territory,Year & Type,Arrests,Year,Type
180,Coast,Miami,"FL, GA, SC, NC",2010 (Mexicans Only),1837.0,2010 ,Mexicans Only
181,Coast,New Orleans,"LA, AL, MS, FL",2010 (Mexicans Only),1941.0,2010 ,Mexicans Only
182,Coast,Ramey,PR,2010 (Mexicans Only),2.0,2010 ,Mexicans Only
183,North,Blaine,"WA, OR",2010 (Mexicans Only),376.0,2010 ,Mexicans Only
184,North,Buffalo,"NY, PA",2010 (Mexicans Only),1143.0,2010 ,Mexicans Only
185,North,Detroit,"OH, MI, IN, IL",2010 (Mexicans Only),1196.0,2010 ,Mexicans Only
186,North,Grand Forks,"WI, MN, ND",2010 (Mexicans Only),388.0,2010 ,Mexicans Only
187,North,Havre,MT,2010 (Mexicans Only),184.0,2010 ,Mexicans Only
188,North,Houlton,ME,2010 (Mexicans Only),6.0,2010 ,Mexicans Only
189,North,Spokane,"MT, ID, WA",2010 (Mexicans Only),316.0,2010 ,Mexicans Only
190,North,Swanton,"NH, VT, NY",2010 (Mexicans Only),157.0,2010 ,Mexicans Only
191,Southwest,Big Bend,TX,2010 (Mexicans Only),4754.0,2010 ,Mexicans Only
192,Southwest,Del Rio,TX,2010 (Mexicans Only),10593.0,2010 ,Mexicans Only
193,Southwest,El Centro,CA,2010 (Mexicans Only),31704.0,2010 ,Mexicans Only
194,Southwest,El Paso,"NM, TX",2010 (Mexicans Only),11194.0,2010 ,Mexicans Only
195,Southwest,Laredo,TX,2010 (Mexicans Only),27957.0,2010 ,Mexicans Only
196,Southwest,Rio Grande Valley,TX,2010 (Mexicans Only),40732.0,2010 ,Mexicans Only
197,Southwest,San Diego,CA,2010 (Mexicans Only),67259.0,2010 ,Mexicans Only
198,Southwest,Tucson,AZ,2010 (Mexicans Only),195921.0,2010 ,Mexicans Only
199,Southwest,Yuma,"CA, AZ",2010 (Mexicans Only),6705.0,2010 ,Mexicans Only
200,Coast,Miami,"FL, GA, SC, NC",2011 (All Illegal Immigrants),4401.0,2011 ,All Illegal Immigrants
201,Coast,New Orleans,"LA, AL, MS, FL",2011 (All Illegal Immigrants),1509.0,2011 ,All Illegal Immigrants
202,Coast,Ramey,PR,2011 (All Illegal Immigrants),642.0,2011 ,All Illegal Immigrants
203,North,Blaine,"WA, OR",2011 (All Illegal Immigrants),591.0,2011 ,All Illegal Immigrants
